id_sentence_conll,index_phrase,index_token,form,lemma,score,annotation,phrase
fr-ud-train_00001,0,12,on,on,5,y,Les commotions cérébrales sont devenu si courantes dans ce sport qu'on les considére presque comme la routine.
fr-ud-train_00003,2,25,communauté,communauté,1,y,"Le comportement de la Turquie vis-à-vis du problème palestinien a fait qu'elle n'est plus en odeur de sainteté auprès de la communauté juive en générale, et américaine en particulier."
fr-ud-train_00004,3,4,filles,fille,5,y,"Toutefois, les filles adorent les desserts."
fr-ud-train_00005,4,1,Ismene,Ismene,2,y,Ismene entre et annonce que c'est Farnace qui a mis le feu à la flotte romaine.
fr-ud-train_00005,4,5,que,que,4,n,Ismene entre et annonce que c'est Farnace qui a mis le feu à la flotte romaine.
fr-ud-train_00006,5,1,je,moi,1,y,je reviendrais avec plaisir !
fr-ud-train_00007,6,44,accompagnateur,accompagnateur,1,y,"Les forfaits comprennent le transport en car Grand Tourisme des différents lieux de départs proposés autour de Lyon, le forfait de ski sur le domaine cité, un en-cas petit-déjeuner servi à votre arrivée en station et le service d'un accompagnateur salarié assurant la logistique des départs et des retours."
fr-ud-train_00008,7,1,Il,lui,4,y,"Il prévient que de telles agressions sont ""susceptibles d'entraîner des poursuites judiciaires""."
fr-ud-train_00009,8,8,foule,foule,1,y,Ils tiraient à balles réelles sur la foule.
fr-ud-train_00014,13,4,charité,charité,4,n,"Motivé par la charité chrétienne, la communauté a changé un vieil immeuble abanbonné où se pratiquaient d'ailleurs de nombreux échanges de drogues en ce logement sûr, propre et abordable qu'il est aujourd'hui."
fr-ud-train_00014,13,8,communauté,communauté,1,y,"Motivé par la charité chrétienne, la communauté a changé un vieil immeuble abanbonné où se pratiquaient d'ailleurs de nombreux échanges de drogues en ce logement sûr, propre et abordable qu'il est aujourd'hui."
fr-ud-train_00015,14,1,Il,lui,4,y,Il exploitait un site de haute valeur militaire et commerciale comprenant un surplomb rocheux dominant en à-pic la rivière Oust.
fr-ud-train_00017,16,7,chevaliers,chevalier,1,y,"Ils deviennent alors les Paladins, chevaliers du bien chargés de défendre élèves et professeurs."
fr-ud-train_00017,16,14,élèves,élève,1,y,"Ils deviennent alors les Paladins, chevaliers du bien chargés de défendre élèves et professeurs."
fr-ud-train_00017,16,16,professeurs,professeur,11,y,"Ils deviennent alors les Paladins, chevaliers du bien chargés de défendre élèves et professeurs."
fr-ud-train_00018,17,2,chevalier,chevalier,5,y,"Le chevalier lui propose une partie d'échecs, espérant retarder l'échéance fatidique, le temps de trouver une solution à ses problèmes métaphysiques : Dieu existe-il ?"
fr-ud-train_00020,19,1,On,on,5,y,On ne peut éviter de penser à l'actualité caractérisée par l'enlèvement des otages au Niger--dont cinq Français.
fr-ud-train_00020,19,16,otages,otage,1,y,On ne peut éviter de penser à l'actualité caractérisée par l'enlèvement des otages au Niger--dont cinq Français.
fr-ud-train_00021,20,13,Flann,Flann,2,y,Elle est déjà soumise à rude épreuve avant même l'avènement de Flann Sinna.
fr-ud-train_00022,21,14,personnes,personne,1,y,"""Malgré les efforts consentis par quelques pays, environ 155 millions de personnes--soit 39% de la population--n'ont pas encore accès à l'eau potable en Afrique de l'Ouest et du Centre"", selon le texte."
fr-ud-train_00022,21,21,population,population,1,y,"""Malgré les efforts consentis par quelques pays, environ 155 millions de personnes--soit 39% de la population--n'ont pas encore accès à l'eau potable en Afrique de l'Ouest et du Centre"", selon le texte."
fr-ud-train_00024,23,2,experts,expert,1,y,Les experts sont unanimes pour dater ce manuscrit du VIe siècle.
fr-ud-train_00025,24,10,habitants,habitant,1,y,"Elle s'étend sur 105,3 km² et comptait 5633 habitants en 2010."
fr-ud-train_00026,25,15,systèmes,système,74,n,"L'affaire se complique un peu avec les jeux Super Nintendo ou d'autres systèmes, qui stockent les valeurs RVB absolues des couleurs."
fr-ud-train_00028,27,26,serveurs,serveur,1,n,"ARF (Application Roll-over Facility) est un logiciel de haute disponibilité, fonctionnant sous AIX sur les machines Bull Escala ou Linux sur les serveurs Bull Novascale."
fr-ud-train_00029,28,2,Abbé,Abbé,6,y,L'Abbé Othon y envoie Albéric accompagné de quelques moines.
fr-ud-train_00029,28,3,Othon,Othon,2,n,L'Abbé Othon y envoie Albéric accompagné de quelques moines.
fr-ud-train_00029,28,4,y,y,4,n,L'Abbé Othon y envoie Albéric accompagné de quelques moines.
fr-ud-train_00029,28,6,Albéric,Albéric,2,y,L'Abbé Othon y envoie Albéric accompagné de quelques moines.
fr-ud-train_00029,28,10,moines,moine,1,y,L'Abbé Othon y envoie Albéric accompagné de quelques moines.
fr-ud-train_00030,29,2,femelles,femelle,5,n,Les femelles peuvent réaliser une à deux portées par an du printemps à l'automne.
fr-ud-train_00031,30,13,attaquant,attaquant,1,y,Il s'agit du 17e but de la saison pour l'attaquant finlandais.
fr-ud-train_00033,32,1,Stephen,Stephen,4,y,"Stephen accuse Adeang et les autres députés de l'opposition d'avoir voté la loi « après le coucher du soleil, le samedi de Pâques », « à la lueur des bougies »."
fr-ud-train_00033,32,3,Adeang,Adeang,6,y,"Stephen accuse Adeang et les autres députés de l'opposition d'avoir voté la loi « après le coucher du soleil, le samedi de Pâques », « à la lueur des bougies »."
fr-ud-train_00033,32,7,députés,député,11,y,"Stephen accuse Adeang et les autres députés de l'opposition d'avoir voté la loi « après le coucher du soleil, le samedi de Pâques », « à la lueur des bougies »."
fr-ud-train_00035,34,9,taux,taux,4,n,"Au contraire, la rifampicine diminue son taux sérique."
fr-ud-train_00036,35,2,mécanisme,mécanisme,4,n,Ce mécanisme peut permettre à la fraude de durer plusieurs années ;
fr-ud-train_00036,35,7,fraude,fraude,4,n,Ce mécanisme peut permettre à la fraude de durer plusieurs années ;
fr-ud-train_00037,36,1,Vous,vous,5,y,Vous pensez que les Mauriciens ne parlent pas suffisamment de la situation linguistique de leur pays ?
fr-ud-train_00037,36,5,Mauriciens,mauricien,4,y,Vous pensez que les Mauriciens ne parlent pas suffisamment de la situation linguistique de leur pays ?
fr-ud-train_00038,37,2,ceci,ceci,4,n,Tout ceci nous conduit au désagréable sentiment que l'économie mondiale se dirige tout droit vers la déflation.
fr-ud-train_00038,37,3,nous,nous,5,y,Tout ceci nous conduit au désagréable sentiment que l'économie mondiale se dirige tout droit vers la déflation.
fr-ud-train_00040,39,17,officier,officier,1,y,De plus l'appartenance à l'ordre équestre était nécessaire pour accéder aux postes d'officier dans l'armée.
fr-ud-train_00042,41,7,Marfan,Marfan,2,y,"Étant atteint du syndrome de Marfan, il est très grand et mince."
fr-ud-train_00043,42,7,nous,nous,1,y,"Il faut attendre 1527 pour que nous parvienne le plus ancien texte, écrit par Jan Ymbrechts--sacristain d'Evere--, concernant l'adjudication d'un nouveau chœur à cette église."
fr-ud-train_00043,42,16,Jan,Jan,6,y,"Il faut attendre 1527 pour que nous parvienne le plus ancien texte, écrit par Jan Ymbrechts--sacristain d'Evere--, concernant l'adjudication d'un nouveau chœur à cette église."
fr-ud-train_00043,42,30,chœur,chœur,1,n,"Il faut attendre 1527 pour que nous parvienne le plus ancien texte, écrit par Jan Ymbrechts--sacristain d'Evere--, concernant l'adjudication d'un nouveau chœur à cette église."
