id_sentence_conll,index_phrase,index_token,form,lemma,score,annotation,phrase
fr-ud-train_02895,0,1,Balibalo,Balibalo,2,y,"Balibalo est un court métrage français réalisé par Marc Andréoni, sorti en 2002."
fr-ud-train_02895,0,9,Marc,Marc,6,y,"Balibalo est un court métrage français réalisé par Marc Andréoni, sorti en 2002."
fr-ud-train_02896,1,15,Marcel,Marcel,2,y,"Au compte de Marnay, il faut ajouter ses textes encore destinés à Marcel Amont : D'où vient le vent (musique de Roger Bourdin, 1961), La Demande en mariage (musique d'Hubert Giraud, 1970)."
fr-ud-train_02896,1,26,Roger,Roger,2,y,"Au compte de Marnay, il faut ajouter ses textes encore destinés à Marcel Amont : D'où vient le vent (musique de Roger Bourdin, 1961), La Demande en mariage (musique d'Hubert Giraud, 1970)."
fr-ud-train_02896,1,39,Hubert,Hubert,2,y,"Au compte de Marnay, il faut ajouter ses textes encore destinés à Marcel Amont : D'où vient le vent (musique de Roger Bourdin, 1961), La Demande en mariage (musique d'Hubert Giraud, 1970)."
fr-ud-train_02897,2,4,il,lui,4,y,"En effet, il ne veut pas doter les régions des budgets nécessaires leur permettant de se substituer à l'État pour le versement de la contribution d'équilibre des services SNCF d'intérêt régional."
fr-ud-train_02897,2,15,leur,eux,4,y,"En effet, il ne veut pas doter les régions des budgets nécessaires leur permettant de se substituer à l'État pour le versement de la contribution d'équilibre des services SNCF d'intérêt régional."
fr-ud-train_02899,4,2,extension,extension,4,y,"Cette extension ajoute de nouveaux dispositifs au jeu de base, ainsi qu'un nouveau scénario complet (25h de jeu)."
fr-ud-train_02900,5,23,rédacteur,rédacteur,1,y,"En ventôse an VI (février-mars 1798), il rejoint les bureaux du ministère de l'Intérieur en qualité de rédacteur."
fr-ud-train_02901,6,2,générations,génération,4,y,Les générations suivantes se souviennent de la bataille telle qu'elle est décrite par William Shakespeare dans le dernier volet de sa trilogie dramatique Henri VI.
fr-ud-train_02901,6,15,William,William,2,y,Les générations suivantes se souviennent de la bataille telle qu'elle est décrite par William Shakespeare dans le dernier volet de sa trilogie dramatique Henri VI.
fr-ud-train_02901,6,25,Henri,Henri,2,y,Les générations suivantes se souviennent de la bataille telle qu'elle est décrite par William Shakespeare dans le dernier volet de sa trilogie dramatique Henri VI.
fr-ud-train_02904,9,1,Miguel,Miguel,42,y,Miguel Robusté Colomer (né le 20 mai 1985 à Vilassar de Mar) est un footballeur espagnol.
fr-ud-train_02904,9,17,footballeur,footballeur,1,y,Miguel Robusté Colomer (né le 20 mai 1985 à Vilassar de Mar) est un footballeur espagnol.
fr-ud-train_02905,10,1,Belladonna,Belladonna,42,y,"Belladonna est un groupe de rock music italien créé à Rome, en Italie, en 2005 par Luana et Dani."
fr-ud-train_02905,10,4,groupe,groupe,1,y,"Belladonna est un groupe de rock music italien créé à Rome, en Italie, en 2005 par Luana et Dani."
fr-ud-train_02905,10,21,Dani,Dani,2,y,"Belladonna est un groupe de rock music italien créé à Rome, en Italie, en 2005 par Luana et Dani."
fr-ud-train_02906,11,2,groupe,groupe,5,y,"Ce groupe trouve ses influences dans U2, et livre des paroles ancrées dans la Bible."
fr-ud-train_02907,12,8,équipes,équipe,1,y,"Il prend d'abord en charge des équipes de second plan, avant de revenir entraîner à plusieurs reprises des équipes majeures comme AC Fiorentina, AS Rome et Milan AC."
fr-ud-train_02907,12,21,équipes,équipe,1,y,"Il prend d'abord en charge des équipes de second plan, avant de revenir entraîner à plusieurs reprises des équipes majeures comme AC Fiorentina, AS Rome et Milan AC."
fr-ud-train_02908,13,1,Melanie,Melanie,2,y,"Melanie ""Mel"" Barker (Danielle McCormack) : Ainée des enfants, est plutôt rebelle et un peu étrange, en effet elle râle souvent et est assez rancunière."
fr-ud-train_02908,13,3,Mel,Mel,2,y,"Melanie ""Mel"" Barker (Danielle McCormack) : Ainée des enfants, est plutôt rebelle et un peu étrange, en effet elle râle souvent et est assez rancunière."
fr-ud-train_02908,13,7,Danielle,Danielle,2,y,"Melanie ""Mel"" Barker (Danielle McCormack) : Ainée des enfants, est plutôt rebelle et un peu étrange, en effet elle râle souvent et est assez rancunière."
fr-ud-train_02908,13,11,Ainée,aînée,1,y,"Melanie ""Mel"" Barker (Danielle McCormack) : Ainée des enfants, est plutôt rebelle et un peu étrange, en effet elle râle souvent et est assez rancunière."
fr-ud-train_02908,13,13,enfants,enfant,1,y,"Melanie ""Mel"" Barker (Danielle McCormack) : Ainée des enfants, est plutôt rebelle et un peu étrange, en effet elle râle souvent et est assez rancunière."
fr-ud-train_02908,13,25,elle,lui,4,y,"Melanie ""Mel"" Barker (Danielle McCormack) : Ainée des enfants, est plutôt rebelle et un peu étrange, en effet elle râle souvent et est assez rancunière."
fr-ud-train_02911,16,10,groupe,groupe,1,y,"Dans le même temps, la croissance du groupe n'a été rendue possible que par l'émission de 15,959 milliards de dollars d'actions."
fr-ud-train_02912,17,1,Il,lui,4,y,Il s'inquiète des suppressions de postes d'enseignants dans les écoles privées sous contrat.
fr-ud-train_02912,17,10,enseignants,enseignant,1,y,Il s'inquiète des suppressions de postes d'enseignants dans les écoles privées sous contrat.
