id_sentence_conll,index_phrase,index_token,form,lemma,score,annotation,phrase
fr-ud-train_05797,0,4,Neil,Neil,2,y,"Avec le scénariste Neil Gaiman, il réalise la mini-série 1602."
fr-ud-train_05797,0,7,il,lui,4,y,"Avec le scénariste Neil Gaiman, il réalise la mini-série 1602."
fr-ud-train_05799,2,1,Vador,Vador,6,y,Vador constate que Luke s'est confectionné un nouveau sabre laser à cristaux verts depuis leur dernière rencontre.
fr-ud-train_05799,2,4,Luke,Luke,2,y,Vador constate que Luke s'est confectionné un nouveau sabre laser à cristaux verts depuis leur dernière rencontre.
fr-ud-train_05800,3,5,plupart,plupart,4,y,"Malgré tout, la plupart des candidats postulaient hier, pour un travail saisonnier."
fr-ud-train_05800,3,8,candidats,candidat,1,y,"Malgré tout, la plupart des candidats postulaient hier, pour un travail saisonnier."
fr-ud-train_05802,5,16,dominateurs,dominateur,5,y,La résistance des peuples dominés a fini par briser les chaînes imposées par les dominateurs.
fr-ud-train_05806,9,7,champion,champion,1,y,"En cas d'égalité, le champion du monde conserve son titre."
fr-ud-train_05807,10,2,procureur,procureur,4,y,"Le procureur Bennour a souligné que les rebelles avaient été « informés par les autorités françaises de la présence de ces hommes » à Benghazi, mais que l'enquête avait été menée exclusivement par les rebelles."
fr-ud-train_05807,10,3,Bennour,Bennour,2,y,"Le procureur Bennour a souligné que les rebelles avaient été « informés par les autorités françaises de la présence de ces hommes » à Benghazi, mais que l'enquête avait été menée exclusivement par les rebelles."
fr-ud-train_05807,10,22,hommes,homme,1,y,"Le procureur Bennour a souligné que les rebelles avaient été « informés par les autorités françaises de la présence de ces hommes » à Benghazi, mais que l'enquête avait été menée exclusivement par les rebelles."
fr-ud-train_05809,12,2,club,club,4,y,"Le club de Peniche refait son apparition en quatrième division, et une nouvelle fois il parvient à monter pendant la saison 1997-98 en finissant premier de sa série."
fr-ud-train_05811,14,6,médecin,médecin,71,y,Dieu était considéré comme le médecin divin qui envoyait la maladie ou la guérison selon sa volonté.
fr-ud-train_05812,15,1,Ivanov,Ivanov,2,y,Ivanov est une pièce de théâtre d'Anton Tchekhov.
fr-ud-train_05812,15,8,Anton,Anton,2,y,Ivanov est une pièce de théâtre d'Anton Tchekhov.
fr-ud-train_05817,20,1,Il,lui,4,y,"Il accepte le premier emploi qu'il trouve, gardien de bétail sur un bateau, et c'est en 1899, un an après son départ, que Lightoller débarque enfin à Liverpool."
fr-ud-train_05817,20,10,gardien,gardien,1,y,"Il accepte le premier emploi qu'il trouve, gardien de bétail sur un bateau, et c'est en 1899, un an après son départ, que Lightoller débarque enfin à Liverpool."
fr-ud-train_05817,20,30,Lightoller,Lightoller,6,y,"Il accepte le premier emploi qu'il trouve, gardien de bétail sur un bateau, et c'est en 1899, un an après son départ, que Lightoller débarque enfin à Liverpool."
fr-ud-train_05818,21,6,cadre,cadre,1,y,Ils s'inscrivent dans le cadre de la mission de l'ONUCI qui est d'aider le gouvernement ivoirien à rétablir l'autorité du système judiciaire et l'Etat de droit en Côte D'Ivoire.
fr-ud-train_05818,21,18,gouvernement,gouvernement,5,y,Ils s'inscrivent dans le cadre de la mission de l'ONUCI qui est d'aider le gouvernement ivoirien à rétablir l'autorité du système judiciaire et l'Etat de droit en Côte D'Ivoire.
fr-ud-train_05819,22,10,homme,homme,1,y,"Il disparaît de scène et apparaît sur scène un homme enveloppé de la cape rouge, le poignard planté dans sa poitrine."
fr-ud-train_05820,23,14,autres,autre,1,y,"Ils font sauter la plupart des ponts, bourrent d'explosifs les autres, aménagent les routes pour faire passer le ravitaillement..."
fr-ud-train_05822,25,2,Loi,Loi,4,y,La Loi exige que la Commission traite toute plainte pour discrimination.
fr-ud-train_05822,25,6,Commission,commission,5,y,La Loi exige que la Commission traite toute plainte pour discrimination.
fr-ud-train_05823,26,14,primauté,primauté,4,y,La vision à double standard continuera-t-elle à s'appliquer pour privilégier la primauté des intérêts sur le droit international ?
fr-ud-train_05828,31,2,hôte,hôte,5,y,"Notre hôte, Doris, nous accueille avec le sourire avant de nous guider vers une chambre décorée avec goût."
fr-ud-train_05828,31,4,Doris,Doris,2,y,"Notre hôte, Doris, nous accueille avec le sourire avant de nous guider vers une chambre décorée avec goût."
fr-ud-train_05828,31,6,nous,nous,1,y,"Notre hôte, Doris, nous accueille avec le sourire avant de nous guider vers une chambre décorée avec goût."
fr-ud-train_05828,31,13,nous,nous,1,y,"Notre hôte, Doris, nous accueille avec le sourire avant de nous guider vers une chambre décorée avec goût."
fr-ud-train_05829,32,15,socialiste,socialiste,4,y,"Avant les élections, le conseil général de l'Essonne était présidé par le socialiste Michel Berson."
fr-ud-train_05829,32,16,Michel,Michel,2,y,"Avant les élections, le conseil général de l'Essonne était présidé par le socialiste Michel Berson."
fr-ud-train_05831,34,2,registres,registre,4,y,"Les registres d'état civil enregistrent un pic extraordinaire de décès pour ces deux années-là : 114 décès en 1693, 174 décès en 1694 alors que la moyenne pour la période 1684-1704 s'établit à environ 33 décès par an."
fr-ud-train_05833,36,2,auteurs,auteur,1,y,"Les auteurs à long terme incluent Rex Wockner, Yvonne Zipter, Bob Roehr, Jonathan Abarbanel."
fr-ud-train_05833,36,7,Rex,Rex,2,y,"Les auteurs à long terme incluent Rex Wockner, Yvonne Zipter, Bob Roehr, Jonathan Abarbanel."
fr-ud-train_05833,36,10,Yvonne,Yvonne,12,y,"Les auteurs à long terme incluent Rex Wockner, Yvonne Zipter, Bob Roehr, Jonathan Abarbanel."
fr-ud-train_05833,36,13,Bob,Bob,12,y,"Les auteurs à long terme incluent Rex Wockner, Yvonne Zipter, Bob Roehr, Jonathan Abarbanel."
fr-ud-train_05833,36,16,Jonathan,Jonathan,12,y,"Les auteurs à long terme incluent Rex Wockner, Yvonne Zipter, Bob Roehr, Jonathan Abarbanel."
fr-ud-train_05835,38,6,chauffeur,chauffeur,1,y,Il était conduit par un chauffeur à l'école primaire William Penn Charter School.
fr-ud-train_05835,38,11,William,William,2,y,Il était conduit par un chauffeur à l'école primaire William Penn Charter School.
fr-ud-train_05837,40,3,chirurgien,chirurgien,1,y,Le courageux chirurgien s'offre comme cobaye aux expériences qu'il mène pour découvrir un vaccin...
fr-ud-train_05839,42,2,population,population,1,y,La population recensée en 2007 est de 11 839 habitants.
fr-ud-train_05839,42,9,habitants,habitant,1,y,La population recensée en 2007 est de 11 839 habitants.
fr-ud-train_05840,43,1,Ibn,Ibn,2,y,"Ibn Khaldoun a dit dans son livre Muqaddima : « Il suivait les opinions de'Abdu Llâh Ibn Sa'îd Ibn Kullab, d'Abûl'Abbâs Al Qalânisî et d'Al-Hâtith Al Muhâsibî, tous partisans de l'attitude des salafs en accord avec la voie Sunnite."
fr-ud-train_05840,43,8,Muqaddima,Muqaddima,2,y,"Ibn Khaldoun a dit dans son livre Muqaddima : « Il suivait les opinions de'Abdu Llâh Ibn Sa'îd Ibn Kullab, d'Abûl'Abbâs Al Qalânisî et d'Al-Hâtith Al Muhâsibî, tous partisans de l'attitude des salafs en accord avec la voie Sunnite."
fr-ud-train_05840,43,17,Abdu,Abdu,2,y,"Ibn Khaldoun a dit dans son livre Muqaddima : « Il suivait les opinions de'Abdu Llâh Ibn Sa'îd Ibn Kullab, d'Abûl'Abbâs Al Qalânisî et d'Al-Hâtith Al Muhâsibî, tous partisans de l'attitude des salafs en accord avec la voie Sunnite."
