id_sentence_conll,index_phrase,index_token,form,lemma,score,annotation,phrase
fr-ud-train_11634,3,6,Häringe,Häringe,2,y,Le château de Häringe (Häringe Slott) est un château dans la commune de Haninge dans le Södermanland en Suède.
fr-ud-train_11635,4,10,Kevin,Kevin,2,y,Toutes les pistes ont été écrites et composées par Kevin Barnes.
fr-ud-train_11637,6,11,candidats,candidat,1,y,"Il se qualifia six fois pour le cycle des candidats au championnat du monde, terminant 3e des tournois des candidats de 1956 et 1962, et demi-finaliste en 1965."
fr-ud-train_11637,6,26,candidats,candidat,1,y,"Il se qualifia six fois pour le cycle des candidats au championnat du monde, terminant 3e des tournois des candidats de 1956 et 1962, et demi-finaliste en 1965."
fr-ud-train_11639,8,13,personne,personne,1,y,Il se fit remarquer à la tribune par la beauté de sa personne non moins que par son éloquence.
fr-ud-train_11641,10,11,république,république,4,y,"Durant la seconde moitié du XIIIe siècle, la république de Volterra participa régulièrement aux conflits qui opposèrent en Toscane les Guelfes et les Gibelins."
fr-ud-train_11641,10,18,conflits,conflit,70,y,"Durant la seconde moitié du XIIIe siècle, la république de Volterra participa régulièrement aux conflits qui opposèrent en Toscane les Guelfes et les Gibelins."
fr-ud-train_11643,12,1,Nous,nous,1,y,Nous y sommes retournés à plusieurs reprises.
fr-ud-train_11644,13,1,Bradley,Bradley,6,y,"Bradley utilise cette force sans précédent pour réaliser un plan ambitieux d'encerclement des forces allemandes en Normandie, les piégeant dans la poche de Chambois (ou poche de Falaise)."
fr-ud-train_11646,15,2,commission,commission,1,y,"Cette commission a pour but de tester et de certifier les antivols moto mécaniques et, plus récemment, électroniques."
fr-ud-train_11647,16,19,Bugs,Bugs,4,y,"Bugs en tombe rapidement amoureux, mais elle repousse ses avances, et d'autant plus fortement que Bugs l'accoste en l'appelant « poupée »."
fr-ud-train_11647,16,20,l',lui,4,y,"Bugs en tombe rapidement amoureux, mais elle repousse ses avances, et d'autant plus fortement que Bugs l'accoste en l'appelant « poupée »."
fr-ud-train_11649,18,10,politiques,politique,1,y,La tentation des technocrates de se muer en politiques est de plus en plus grande.
fr-ud-train_11651,20,1,Théobald,Théobald,2,y,"Théobald est déjà comte d'Arles en juillet 879 et se trouve parmi les Bourguignons de l'entourage de Boson, initialement duc, puis après le coup d'État du 15 octobre 879 roi de Provence ;"
fr-ud-train_11651,20,18,entourage,entourage,1,y,"Théobald est déjà comte d'Arles en juillet 879 et se trouve parmi les Bourguignons de l'entourage de Boson, initialement duc, puis après le coup d'État du 15 octobre 879 roi de Provence ;"
fr-ud-train_11651,20,20,Boson,Boson,2,y,"Théobald est déjà comte d'Arles en juillet 879 et se trouve parmi les Bourguignons de l'entourage de Boson, initialement duc, puis après le coup d'État du 15 octobre 879 roi de Provence ;"
fr-ud-train_11651,20,36,roi,roi,1,y,"Théobald est déjà comte d'Arles en juillet 879 et se trouve parmi les Bourguignons de l'entourage de Boson, initialement duc, puis après le coup d'État du 15 octobre 879 roi de Provence ;"
fr-ud-train_11652,21,2,prince,prince,1,y,"Le prince Albert de Monaco est attendu cette semaine à Beyrouth pour une visite de quatre jours, au cours de laquelle il consacrera deux journées pour faire du tourisme."
fr-ud-train_11652,21,3,Albert,Albert,2,y,"Le prince Albert de Monaco est attendu cette semaine à Beyrouth pour une visite de quatre jours, au cours de laquelle il consacrera deux journées pour faire du tourisme."
fr-ud-train_11652,21,5,Monaco,Monaco,2,y,"Le prince Albert de Monaco est attendu cette semaine à Beyrouth pour une visite de quatre jours, au cours de laquelle il consacrera deux journées pour faire du tourisme."
fr-ud-train_11652,21,24,il,lui,4,y,"Le prince Albert de Monaco est attendu cette semaine à Beyrouth pour une visite de quatre jours, au cours de laquelle il consacrera deux journées pour faire du tourisme."
fr-ud-train_11652,21,27,journées,journée,4,y,"Le prince Albert de Monaco est attendu cette semaine à Beyrouth pour une visite de quatre jours, au cours de laquelle il consacrera deux journées pour faire du tourisme."
fr-ud-train_11653,22,1,Il,lui,40,y,"Il est également président de la Fédération océanienne d'haltérophilie après avoir été nommé à ce poste fin, et président du Comité national olympique nauruan depuis janvier 2009."
fr-ud-train_11653,22,4,président,président,1,y,"Il est également président de la Fédération océanienne d'haltérophilie après avoir été nommé à ce poste fin, et président du Comité national olympique nauruan depuis janvier 2009."
fr-ud-train_11653,22,21,président,président,1,y,"Il est également président de la Fédération océanienne d'haltérophilie après avoir été nommé à ce poste fin, et président du Comité national olympique nauruan depuis janvier 2009."
fr-ud-train_11653,22,24,Comité,comité,1,y,"Il est également président de la Fédération océanienne d'haltérophilie après avoir été nommé à ce poste fin, et président du Comité national olympique nauruan depuis janvier 2009."
fr-ud-train_11656,25,17,Descartes,Descartes,2,y,"Boursier de l'État, prix national en 1950, il est nommé à la maison Descartes à Amsterdam en 1952 ;"
fr-ud-train_11657,26,1,Armand,Armand,42,y,"Armand Gouffé, né à Paris le 22 mars 1775 et mort à Beaune le 19 octobre 1845, est un poète, chansonnier, goguettier et vaudevilliste français."
fr-ud-train_11657,26,22,poète,poète,1,y,"Armand Gouffé, né à Paris le 22 mars 1775 et mort à Beaune le 19 octobre 1845, est un poète, chansonnier, goguettier et vaudevilliste français."
fr-ud-train_11657,26,24,chansonnier,chansonnier,10,y,"Armand Gouffé, né à Paris le 22 mars 1775 et mort à Beaune le 19 octobre 1845, est un poète, chansonnier, goguettier et vaudevilliste français."
fr-ud-train_11657,26,26,goguettier,goguettier,10,y,"Armand Gouffé, né à Paris le 22 mars 1775 et mort à Beaune le 19 octobre 1845, est un poète, chansonnier, goguettier et vaudevilliste français."
fr-ud-train_11657,26,28,vaudevilliste,vaudevilliste,10,y,"Armand Gouffé, né à Paris le 22 mars 1775 et mort à Beaune le 19 octobre 1845, est un poète, chansonnier, goguettier et vaudevilliste français."
fr-ud-train_11658,27,6,mère,mère,1,y,"Le diabète gestationnel de la mère est la cause de la surcharge pondérale de l'enfant, a avancé la presse locale."
fr-ud-train_11658,27,16,enfant,enfant,1,y,"Le diabète gestationnel de la mère est la cause de la surcharge pondérale de l'enfant, a avancé la presse locale."
fr-ud-train_11659,28,1,Jamie,Jamie,42,y,"Jamie Elman est un acteur américain né le 5 juillet 1976 à New York, New York (États-Unis)."
fr-ud-train_11659,28,5,acteur,acteur,1,y,"Jamie Elman est un acteur américain né le 5 juillet 1976 à New York, New York (États-Unis)."
fr-ud-train_11660,29,1,Ramart,Ramart,40,y,"Ramart est un personnage de l'univers de fiction de Star Trek, et plus particulièrement de la série originale, interprété par l'acteur Charles Stewart."
fr-ud-train_11660,29,4,personnage,personnage,1,y,"Ramart est un personnage de l'univers de fiction de Star Trek, et plus particulièrement de la série originale, interprété par l'acteur Charles Stewart."
fr-ud-train_11660,29,25,acteur,acteur,5,y,"Ramart est un personnage de l'univers de fiction de Star Trek, et plus particulièrement de la série originale, interprété par l'acteur Charles Stewart."
fr-ud-train_11660,29,26,Charles,Charles,2,y,"Ramart est un personnage de l'univers de fiction de Star Trek, et plus particulièrement de la série originale, interprété par l'acteur Charles Stewart."
fr-ud-train_11661,30,26,touristes,touriste,1,y,"Le Ladakh est une région montagneuse située dans le sud-est du Cachemire indien (nord de l'Inde), qui attire de nombreux touristes amateurs de trekking, notamment lors de la haute saison en été."
fr-ud-train_11661,30,27,amateurs,amateur,1,y,"Le Ladakh est une région montagneuse située dans le sud-est du Cachemire indien (nord de l'Inde), qui attire de nombreux touristes amateurs de trekking, notamment lors de la haute saison en été."
fr-ud-train_11663,32,35,personnes,personne,1,y,"La présence d'une version « nordique » de la Chronique à Worcester s'explique peut-être par le fait que les sièges épiscopaux de York et de Worcester ont été occupés par les mêmes personnes entre 972 et 1016 (Oswald à partir de 972, Ealdwulf à partir de 992, et Wulfstan à partir de 1003)."
fr-ud-train_11663,32,41,Oswald,Oswald,2,y,"La présence d'une version « nordique » de la Chronique à Worcester s'explique peut-être par le fait que les sièges épiscopaux de York et de Worcester ont été occupés par les mêmes personnes entre 972 et 1016 (Oswald à partir de 972, Ealdwulf à partir de 992, et Wulfstan à partir de 1003)."
fr-ud-train_11663,32,47,Ealdwulf,Ealdwulf,10,y,"La présence d'une version « nordique » de la Chronique à Worcester s'explique peut-être par le fait que les sièges épiscopaux de York et de Worcester ont été occupés par les mêmes personnes entre 972 et 1016 (Oswald à partir de 972, Ealdwulf à partir de 992, et Wulfstan à partir de 1003)."
fr-ud-train_11663,32,54,Wulfstan,Wulfstan,12,y,"La présence d'une version « nordique » de la Chronique à Worcester s'explique peut-être par le fait que les sièges épiscopaux de York et de Worcester ont été occupés par les mêmes personnes entre 972 et 1016 (Oswald à partir de 972, Ealdwulf à partir de 992, et Wulfstan à partir de 1003)."
fr-ud-train_11666,35,1,Fabrice,Fabrice,42,y,"Fabrice Pancrate, né le 2 mai 1980 à Paris, est un footballeur français évoluant dans le club de Nantes au poste d'attaquant."
fr-ud-train_11666,35,14,footballeur,footballeur,1,y,"Fabrice Pancrate, né le 2 mai 1980 à Paris, est un footballeur français évoluant dans le club de Nantes au poste d'attaquant."
fr-ud-train_11666,35,26,attaquant,attaquant,1,y,"Fabrice Pancrate, né le 2 mai 1980 à Paris, est un footballeur français évoluant dans le club de Nantes au poste d'attaquant."
fr-ud-train_11668,37,7,il,lui,4,y,"Revenu de nouveau à Berne, il y mourut en 1710."
fr-ud-train_11672,41,2,réalisateur,réalisateur,1,y,Le réalisateur nous plonge avec émotion dans un centre pour requérants en attente dans la petit ville vaudoise de Vallorbe.
fr-ud-train_11672,41,3,nous,nous,1,y,Le réalisateur nous plonge avec émotion dans un centre pour requérants en attente dans la petit ville vaudoise de Vallorbe.
fr-ud-train_11674,43,5,Jean-Jo,Jean-Jo,2,y,"Quatre victoires pour ""Jean-Jo"", trois pour Tirabassi, les ""Clio boys"" ont pratiquement tout raflés !"
fr-ud-train_11674,43,10,Tirabassi,Tirabassi,2,y,"Quatre victoires pour ""Jean-Jo"", trois pour Tirabassi, les ""Clio boys"" ont pratiquement tout raflés !"
fr-ud-train_11674,43,14,Clio,Clio,4,y,"Quatre victoires pour ""Jean-Jo"", trois pour Tirabassi, les ""Clio boys"" ont pratiquement tout raflés !"
fr-ud-train_11675,44,4,garde,garde,5,y,"Nommé par le garde des Sceaux, le notaire confère un caractère authentique à tous les actes qu'il rédige (ordonnance du 2 novembre 1945)."
fr-ud-train_11675,44,10,notaire,notaire,5,y,"Nommé par le garde des Sceaux, le notaire confère un caractère authentique à tous les actes qu'il rédige (ordonnance du 2 novembre 1945)."
fr-ud-train_11675,44,18,actes,acte,4,y,"Nommé par le garde des Sceaux, le notaire confère un caractère authentique à tous les actes qu'il rédige (ordonnance du 2 novembre 1945)."
fr-ud-train_11675,44,20,il,lui,4,y,"Nommé par le garde des Sceaux, le notaire confère un caractère authentique à tous les actes qu'il rédige (ordonnance du 2 novembre 1945)."
fr-ud-train_11678,47,1,Antonin,Antonin,2,y,Antonin est né vers la moitié du IIIe siècle à une date incertaine.
fr-ud-train_11679,48,2,on,on,1,y,"Quand on pose la question au premier sens, il s'agit donc de comprendre comment chaque réalité peut satisfaire la condition ;"
fr-ud-train_11679,48,19,réalité,réalité,4,y,"Quand on pose la question au premier sens, il s'agit donc de comprendre comment chaque réalité peut satisfaire la condition ;"
fr-ud-train_11679,48,23,condition,condition,4,y,"Quand on pose la question au premier sens, il s'agit donc de comprendre comment chaque réalité peut satisfaire la condition ;"
fr-ud-train_11680,49,9,Aiea,Aiea,2,y,"Les autres municipalités à Oahu, y compris Aiea, Kailua, Mililani et Waipahu ont leurs identités distinctes, mais elles ne sont pas politiquement indépendantes du comté d'Honolulu."
fr-ud-train_11680,49,11,Kailua,Kailua,10,y,"Les autres municipalités à Oahu, y compris Aiea, Kailua, Mililani et Waipahu ont leurs identités distinctes, mais elles ne sont pas politiquement indépendantes du comté d'Honolulu."
fr-ud-train_11680,49,13,Mililani,Mililani,10,y,"Les autres municipalités à Oahu, y compris Aiea, Kailua, Mililani et Waipahu ont leurs identités distinctes, mais elles ne sont pas politiquement indépendantes du comté d'Honolulu."
fr-ud-train_11680,49,15,Waipahu,Waipahu,10,y,"Les autres municipalités à Oahu, y compris Aiea, Kailua, Mililani et Waipahu ont leurs identités distinctes, mais elles ne sont pas politiquement indépendantes du comté d'Honolulu."
fr-ud-train_11681,50,4,personne,personne,1,y,Peut être une personne qu'elle connaissait avant ses pertes de mémoires ?
fr-ud-train_11681,50,6,elle,lui,4,y,Peut être une personne qu'elle connaissait avant ses pertes de mémoires ?
fr-ud-train_11682,51,2,Brugairoux,Brugairoux,6,y,"Les Brugairoux, propriétaires d'un fief à Pardailhan, depuis le XVe, ont peu à peu racheté toutes les parts de la co-seigneurie ;"
fr-ud-train_11682,51,4,propriétaires,propriétaire,1,y,"Les Brugairoux, propriétaires d'un fief à Pardailhan, depuis le XVe, ont peu à peu racheté toutes les parts de la co-seigneurie ;"
fr-ud-train_11682,51,22,parts,part,4,y,"Les Brugairoux, propriétaires d'un fief à Pardailhan, depuis le XVe, ont peu à peu racheté toutes les parts de la co-seigneurie ;"
fr-ud-train_11685,54,2,algue,algue,4,y,"Cette algue fournit ses excès de nourriture produits à la méduse, qui s'en nourrit."
fr-ud-train_11687,56,9,il,lui,4,y,"Mais à l'inverse, à Louhans, il renonce provisoirement à certains droits de péage sur les bourgeois (1778)."
fr-ud-train_11688,57,7,sainte,sainte,1,y,"En 1992, elle fut déclarée sainte et martyre par l'Église orthodoxe russe."
fr-ud-train_11688,57,9,martyre,martyre,10,y,"En 1992, elle fut déclarée sainte et martyre par l'Église orthodoxe russe."
fr-ud-train_11688,57,12,Église,église,4,y,"En 1992, elle fut déclarée sainte et martyre par l'Église orthodoxe russe."
fr-ud-train_11689,58,8,catégories,catégorie,1,y,"Le problème est le suivant : les catégories sont des concepts a priori--comment, dans ce cas, savoir si on a le droit de les appliquer aux phénomènes connus (c'est-à-dire reçus) par l'expérience."
fr-ud-train_11689,58,23,on,on,1,y,"Le problème est le suivant : les catégories sont des concepts a priori--comment, dans ce cas, savoir si on a le droit de les appliquer aux phénomènes connus (c'est-à-dire reçus) par l'expérience."
