id_sentence_conll,index_phrase,index_token,form,lemma,score,annotateur1,annotateur2,phrase
frwiki_50.1000_00001,0,4,caporaux,caporal,1,y,y,Affaire des caporaux de Souain
frwiki_50.1000_00001,0,6,Souain,Souain,2,y,y,Affaire des caporaux de Souain
frwiki_50.1000_00002,1,5,caporaux,caporal,1,y,y,"L'affaire des caporaux de Souain, fusillés pour l'exemple, est un des cas parmi les plus flagrants et les plus médiatisés de l'injustice militaire durant la Première Guerre mondiale."
frwiki_50.1000_00002,1,7,Souain,Souain,2,y,y,"L'affaire des caporaux de Souain, fusillés pour l'exemple, est un des cas parmi les plus flagrants et les plus médiatisés de l'injustice militaire durant la Première Guerre mondiale."
frwiki_50.1000_00004,3,38,régiment,régiment,1,y,y,"Le 10 mars 1915 à cinq heures du matin, après deux mois d'accrochages sans résultat tangible dans le secteur et deux récentes attaques infructueuses, les poilus de la 21e compagnie du 336e régiment d'infanterie, reçoivent l'ordre d'attaquer de nouveau à la baïonnette et de reprendre les positions ennemies établies au nord du village de Souain."
frwiki_50.1000_00006,5,5,préparation,préparation,4,y,y,"De plus, la préparation d'artillerie habituelle avant l'attaque, au lieu de secouer les positions allemandes, envoie ses obus sur la tranchée française et laboure le terrain d'assaut."
frwiki_50.1000_00006,5,27,tranchée,tranchée,4,y,y,"De plus, la préparation d'artillerie habituelle avant l'attaque, au lieu de secouer les positions allemandes, envoie ses obus sur la tranchée française et laboure le terrain d'assaut."
frwiki_50.1000_00007,6,6,hommes,homme,5,y,y,"Dans ces conditions, les hommes de la 21e Compagnie, épuisés après plusieurs jours de tranchée, démoralisés par les précédents insuccès, et ayant sous les yeux le spectacle des cadavres de leurs camarades tombés dans les fils de fer intacts, refusent, ce jour-là, de sortir des tranchées."
frwiki_50.1000_00007,6,37,camarades,camarade,1,y,y,"Dans ces conditions, les hommes de la 21e Compagnie, épuisés après plusieurs jours de tranchée, démoralisés par les précédents insuccès, et ayant sous les yeux le spectacle des cadavres de leurs camarades tombés dans les fils de fer intacts, refusent, ce jour-là, de sortir des tranchées."
frwiki_50.1000_00008,7,10,ils,eux,4,y,y,"À cet instant précis, il est clair qu'ils anticipent l'échec et l'inutilité d'une attaque qui les voue à une mort certaine."
frwiki_50.1000_00008,7,19,attaque,attaque,74,y,y,"À cet instant précis, il est clair qu'ils anticipent l'échec et l'inutilité d'une attaque qui les voue à une mort certaine."
frwiki_50.1000_00009,8,2,soldat,soldat,1,y,y,Tout soldat paraissant sur le parapet étant immédiatement atteint par les balles.
frwiki_50.1000_00010,9,25,général,général,5,y,y,"Plus tard, le bombardement des tranchées françaises fera l'objet d'une polémique, à la suite d'un témoignage : Le général Réveilhac, ordonnateur de l'attaque, aurait demandé à l'artillerie de pilonner les positions française pour obliger les soldats à sortir de leurs tranchées."
frwiki_50.1000_00010,9,26,Réveilhac,Réveilhac,2,y,y,"Plus tard, le bombardement des tranchées françaises fera l'objet d'une polémique, à la suite d'un témoignage : Le général Réveilhac, ordonnateur de l'attaque, aurait demandé à l'artillerie de pilonner les positions française pour obliger les soldats à sortir de leurs tranchées."
frwiki_50.1000_00010,9,37,artillerie,artillerie,4,y,y,"Plus tard, le bombardement des tranchées françaises fera l'objet d'une polémique, à la suite d'un témoignage : Le général Réveilhac, ordonnateur de l'attaque, aurait demandé à l'artillerie de pilonner les positions française pour obliger les soldats à sortir de leurs tranchées."
