id_sentence_conll,index_phrase,index_token,form,lemma,score,annotation,phrase,
Europar.550_00001,0,1,Je,moi,5,y,Je remercie le président en exercice pour sa réponse.,
Europar.550_00001,0,4,président,président,5,y,Je remercie le président en exercice pour sa réponse.,
Europar.550_00002,1,1,Je,moi,1,y,Je suis certain qu'il a conscience de la menace très grave qui pèse sur le modèle européen fondé sur l'exploitation familiale.,
Europar.550_00002,1,17,modèle,modèle,4,n,Je suis certain qu'il a conscience de la menace très grave qui pèse sur le modèle européen fondé sur l'exploitation familiale.,
Europar.550_00003,2,2,premiers,premier,40,y,"Les premiers concernés sont les producteurs de viande de boeuf et de mouton, dont on attend aujourd'hui qu'ils vendent leurs produits à des prix égaux ou inférieurs à leurs coûts de production.",
Europar.550_00003,2,6,producteurs,producteur,1,y,"Les premiers concernés sont les producteurs de viande de boeuf et de mouton, dont on attend aujourd'hui qu'ils vendent leurs produits à des prix égaux ou inférieurs à leurs coûts de production.",
Europar.550_00003,2,16,on,on,5,y,"Les premiers concernés sont les producteurs de viande de boeuf et de mouton, dont on attend aujourd'hui qu'ils vendent leurs produits à des prix égaux ou inférieurs à leurs coûts de production.",
Europar.550_00003,2,20,ils,eux,4,y,"Les premiers concernés sont les producteurs de viande de boeuf et de mouton, dont on attend aujourd'hui qu'ils vendent leurs produits à des prix égaux ou inférieurs à leurs coûts de production.",
Europar.550_00003,2,26,prix,prix,4,n,"Les premiers concernés sont les producteurs de viande de boeuf et de mouton, dont on attend aujourd'hui qu'ils vendent leurs produits à des prix égaux ou inférieurs à leurs coûts de production.",
Europar.550_00004,3,1,Je,moi,5,y,"Je voudrais demander quelles nouvelles initiatives peut prendre le Conseil pour préserver les intérêts de ces agriculteurs dans le cadre des prochaines négociations sur le commerce mondial, en particulier face à la production à grande échelle et de style industriel des États-Unis et de la Nouvelle-Zélande, où les économies d'échelle font qu'il est extrêmement difficile pour les exploitations familiales européennes de rester compétitives et où, bien sûr, les normes européennes en matière de sécurité alimentaire ne s'appliquent pas.",
Europar.550_00004,3,10,Conseil,conseil,4,y,"Je voudrais demander quelles nouvelles initiatives peut prendre le Conseil pour préserver les intérêts de ces agriculteurs dans le cadre des prochaines négociations sur le commerce mondial, en particulier face à la production à grande échelle et de style industriel des États-Unis et de la Nouvelle-Zélande, où les économies d'échelle font qu'il est extrêmement difficile pour les exploitations familiales européennes de rester compétitives et où, bien sûr, les normes européennes en matière de sécurité alimentaire ne s'appliquent pas.",
Europar.550_00004,3,17,agriculteurs,agriculteur,1,y,"Je voudrais demander quelles nouvelles initiatives peut prendre le Conseil pour préserver les intérêts de ces agriculteurs dans le cadre des prochaines négociations sur le commerce mondial, en particulier face à la production à grande échelle et de style industriel des États-Unis et de la Nouvelle-Zélande, où les économies d'échelle font qu'il est extrêmement difficile pour les exploitations familiales européennes de rester compétitives et où, bien sûr, les normes européennes en matière de sécurité alimentaire ne s'appliquent pas.",
Europar.550_00004,3,20,cadre,cadre,1,n,"Je voudrais demander quelles nouvelles initiatives peut prendre le Conseil pour préserver les intérêts de ces agriculteurs dans le cadre des prochaines négociations sur le commerce mondial, en particulier face à la production à grande échelle et de style industriel des États-Unis et de la Nouvelle-Zélande, où les économies d'échelle font qu'il est extrêmement difficile pour les exploitations familiales européennes de rester compétitives et où, bien sûr, les normes européennes en matière de sécurité alimentaire ne s'appliquent pas.",
Europar.550_00005,4,1,Monsieur,monsieur,1,y,"Monsieur le Président, je tiens à remercier le rapporteur pour son exposé dont je partage en tous points le contenu.",
Europar.550_00005,4,5,je,moi,1,y,"Monsieur le Président, je tiens à remercier le rapporteur pour son exposé dont je partage en tous points le contenu.",
Europar.550_00005,4,10,rapporteur,rapporteur,4,y,"Monsieur le Président, je tiens à remercier le rapporteur pour son exposé dont je partage en tous points le contenu.",
Europar.550_00005,4,15,je,moi,1,y,"Monsieur le Président, je tiens à remercier le rapporteur pour son exposé dont je partage en tous points le contenu.",
Europar.550_00006,5,1,Je,moi,5,y,"Je le remercie également pour la collaboration qui a pu s'établir entre les groupes, ce qui nous a permis d'aboutir à des compromis, qui sont, selon moi, responsables, adéquats et appropriés.",
Europar.550_00006,5,2,le,lui,4,y,"Je le remercie également pour la collaboration qui a pu s'établir entre les groupes, ce qui nous a permis d'aboutir à des compromis, qui sont, selon moi, responsables, adéquats et appropriés.",
Europar.550_00006,5,7,collaboration,collaboration,74,n,"Je le remercie également pour la collaboration qui a pu s'établir entre les groupes, ce qui nous a permis d'aboutir à des compromis, qui sont, selon moi, responsables, adéquats et appropriés.",
Europar.550_00006,5,15,groupes,groupe,1,y,"Je le remercie également pour la collaboration qui a pu s'établir entre les groupes, ce qui nous a permis d'aboutir à des compromis, qui sont, selon moi, responsables, adéquats et appropriés.",
Europar.550_00006,5,17,ce,ce,74,n,"Je le remercie également pour la collaboration qui a pu s'établir entre les groupes, ce qui nous a permis d'aboutir à des compromis, qui sont, selon moi, responsables, adéquats et appropriés.",
Europar.550_00006,5,19,nous,nous,5,y,"Je le remercie également pour la collaboration qui a pu s'établir entre les groupes, ce qui nous a permis d'aboutir à des compromis, qui sont, selon moi, responsables, adéquats et appropriés.",
Europar.550_00006,5,32,moi,moi,1,y,"Je le remercie également pour la collaboration qui a pu s'établir entre les groupes, ce qui nous a permis d'aboutir à des compromis, qui sont, selon moi, responsables, adéquats et appropriés.",
Europar.550_00007,6,2,groupe,groupe,5,y,Notre groupe les approuvera donc.,
Europar.550_00008,7,2,nous,nous,1,y,Pourquoi nous occupons-nous de ce problème ?,
Europar.550_00008,7,4,-nous,nous,5,y,Pourquoi nous occupons-nous de ce problème ?,
Europar.550_00009,8,16,homme,homme,1,y,"Très brièvement, il s'agit de limiter les émissions de CO2 imputables à l'homme.",
Europar.550_00010,9,1,Nous,nous,5,y,"Nous savons qu'à mesure que l'Asie bénéficiera d'un niveau de vie accru, 1,4 milliard de Chinois et 1 milliard d'Indiens commenceront à consommer de plus en plus d'énergie ;",
Europar.550_00010,9,25,Indiens,indien,1,y,"Nous savons qu'à mesure que l'Asie bénéficiera d'un niveau de vie accru, 1,4 milliard de Chinois et 1 milliard d'Indiens commenceront à consommer de plus en plus d'énergie ;",
Europar.550_00011,10,5,consommation,consommation,4,n,"cela signifie que leur consommation énergétique, qui représente actuellement 10% de la consommation énergétique moyenne de l'UE, enregistrera une forte augmentation à mesure qu'ils exigeront des commodités élémentaires comme l'eau chaude et, peut-être même, l'air conditionné, des moyens de transport et la modernisation de leurs industries.",
Europar.550_00011,10,29,ils,eux,4,y,"cela signifie que leur consommation énergétique, qui représente actuellement 10% de la consommation énergétique moyenne de l'UE, enregistrera une forte augmentation à mesure qu'ils exigeront des commodités élémentaires comme l'eau chaude et, peut-être même, l'air conditionné, des moyens de transport et la modernisation de leurs industries.",
Europar.550_00012,11,1,Nous,nous,5,y,Nous nous sommes engagés à Rio à protéger le climat.,
Europar.550_00012,11,2,nous,nous,1,y,Nous nous sommes engagés à Rio à protéger le climat.,
Europar.550_00013,12,3,document,document,4,n,Le présent document répond tout à fait à cet objectif.,
Europar.550_00014,13,1,Nous,nous,5,y,Nous avons noté que la production d'électricité correspond à 30% des émissions de CO2 imputables à l'homme.,
Europar.550_00014,13,21,homme,homme,1,y,Nous avons noté que la production d'électricité correspond à 30% des émissions de CO2 imputables à l'homme.,
Europar.550_00017,16,2,nous,nous,1,y,"Si nous parvenons à atteindre nos objectifs, nous aurons économisé, en 2020, 6 millions de tonnes d'émissions de CO2 par an.",
Europar.550_00017,16,9,nous,nous,5,y,"Si nous parvenons à atteindre nos objectifs, nous aurons économisé, en 2020, 6 millions de tonnes d'émissions de CO2 par an.",
Europar.550_00018,17,1,Nous,nous,5,y,"Nous économiserons 10% de la consommation d'électricité à des fins d'éclairage à l'aide de tubes fluorescents, ce qui, traduit en argent, constitue une économie de 250 millions d'euros par an.",
Europar.550_00019,18,18,nous,nous,5,y,"Cette proposition aura également des effets considérables sur le climat et sur l'économie et, si nous réalisons les objectifs proposés, notre industrie aura un temps suffisamment long pour se restructurer.",
Europar.550_00020,19,1,M.,monsieur,3,y,"M. Turmes a abordé ce point et je me rappelle que les milieux industriels savent, en tout cas depuis 1992, que les ballasts magnétiques seront plus ou moins interdits vers 2009.",
Europar.550_00020,19,6,point,point,4,n,"M. Turmes a abordé ce point et je me rappelle que les milieux industriels savent, en tout cas depuis 1992, que les ballasts magnétiques seront plus ou moins interdits vers 2009.",
Europar.550_00020,19,8,je,moi,5,y,"M. Turmes a abordé ce point et je me rappelle que les milieux industriels savent, en tout cas depuis 1992, que les ballasts magnétiques seront plus ou moins interdits vers 2009.",
Europar.550_00020,19,9,me,moi,1,y,"M. Turmes a abordé ce point et je me rappelle que les milieux industriels savent, en tout cas depuis 1992, que les ballasts magnétiques seront plus ou moins interdits vers 2009.",
Europar.550_00020,19,13,milieux,milieu,4,y,"M. Turmes a abordé ce point et je me rappelle que les milieux industriels savent, en tout cas depuis 1992, que les ballasts magnétiques seront plus ou moins interdits vers 2009.",
Europar.550_00021,20,1,Nous,nous,5,y,Nous n'introduisons donc rien de neuf.,
Europar.550_00022,21,1,Nous,nous,1,y,Nous avons fait bloc autour du compromis élaboré en vue d'améliorer l'efficacité énergétique dans un souhait de protéger le climat.,
Europar.550_00023,22,1,Nous,nous,1,y,"Nous avons souhaité obtenir des avantages économiques et nous avons souhaité, en adoptant une démarche progressive, ne pas accabler inutilement les consommateurs normaux avec des investissements qui ne peuvent être remboursés.",
Europar.550_00023,22,9,nous,nous,9,y,"Nous avons souhaité obtenir des avantages économiques et nous avons souhaité, en adoptant une démarche progressive, ne pas accabler inutilement les consommateurs normaux avec des investissements qui ne peuvent être remboursés.",
Europar.550_00023,22,24,consommateurs,consommateur,5,y,"Nous avons souhaité obtenir des avantages économiques et nous avons souhaité, en adoptant une démarche progressive, ne pas accabler inutilement les consommateurs normaux avec des investissements qui ne peuvent être remboursés.",
Europar.550_00023,22,28,investissements,investissement,74,n,"Nous avons souhaité obtenir des avantages économiques et nous avons souhaité, en adoptant une démarche progressive, ne pas accabler inutilement les consommateurs normaux avec des investissements qui ne peuvent être remboursés.",
