score,vrai_positif,faux_positif,précision
1,1756,177,"0,908432488360062"
2,585,313,"0,651447661469933"
3,99,0,1
4,352,244,"0,590604026845638"
5,533,2,"0,996261682242991"
6,80,14,"0,851063829787234"
7,10,0,1
10,38,36,"0,513513513513514"
11,84,0,1
12,75,2,"0,974025974025974"
13,6,0,1
40,17,5,"0,772727272727273"
41,7,0,1
42,7,0,1
43,2,0,1
70,22,40,"0,354838709677419"
71,14,0,1
72,3,0,1
74,6,1,"0,857142857142857"
75,2,0,1
80,2,0,1
82,1,0,1
85,1,0,1
110,2,0,1
111,0,1,0
total,3704,835,"0,816038775060586"
