"id"	"addtoname"	"name"	"subscript"	"superscript"	"status"	"%"
"ls:fr:entry:26164"	""	"à"	""	""	"1"	"100"
"ls:fr:entry:26165"	""	"à propos"	""	""	"2"	"100"
"ls:fr:entry:26166"	""	"abandonner"	""	""	"2"	"100"
"ls:fr:entry:26167"	""	"abeille"	""	""	"1"	"100"
"ls:fr:entry:26168"	""	"abîme"	""	""	"2"	"100"
"ls:fr:entry:26169"	""	"abîmer"	""	""	"2"	"100"
"ls:fr:entry:26170"	""	"abonner"	""	""	"2"	"100"
"ls:fr:entry:26171"	""	"abri"	""	""	"2"	"100"
"ls:fr:entry:26172"	""	"abriter"	""	""	"2"	"100"
"ls:fr:entry:26173"	""	"absence"	""	""	"2"	"100"
"ls:fr:entry:26174"	""	"absolument"	""	""	"2"	"100"
"ls:fr:entry:26175"	""	"absorber"	""	""	"2"	"100"
"ls:fr:entry:26176"	""	"abuser"	""	""	"2"	"100"
"ls:fr:entry:26177"	""	"accélérer"	""	""	"2"	"100"
"ls:fr:entry:26178"	""	"accent"	""	""	"2"	"100"
"ls:fr:entry:26179"	""	"accepter"	""	""	"2"	"100"
"ls:fr:entry:26180"	""	"accès"	""	""	"2"	"100"
"ls:fr:entry:26181"	""	"accident"	""	""	"2"	"100"
"ls:fr:entry:26182"	""	"accompagner"	""	""	"2"	"100"
"ls:fr:entry:26183"	""	"accomplir"	""	""	"2"	"100"
"ls:fr:entry:26184"	""	"accord"	""	""	"2"	"100"
"ls:fr:entry:26185"	""	"accorder"	""	""	"2"	"100"
"ls:fr:entry:26186"	""	"accoucher"	""	""	"2"	"100"
"ls:fr:entry:26187"	""	"accrocher"	""	""	"2"	"100"
"ls:fr:entry:26188"	""	"accueillir"	""	""	"2"	"100"
"ls:fr:entry:26189"	""	"accumuler"	""	""	"2"	"100"
"ls:fr:entry:26190"	""	"accuser"	""	""	"2"	"100"
"ls:fr:entry:26191"	""	"acheter"	""	""	"2"	"100"
"ls:fr:entry:26192"	""	"achever"	""	""	"2"	"100"
"ls:fr:entry:26193"	""	"acide"	"Adj"	""	"2"	"100"
"ls:fr:entry:26194"	""	"acquérir"	""	""	"2"	"100"
"ls:fr:entry:26195"	""	"acte"	""	""	"2"	"100"
"ls:fr:entry:26196"	""	"acteur"	""	""	"2"	"100"
"ls:fr:entry:26197"	""	"actif"	"Adj"	""	"2"	"100"
"ls:fr:entry:26198"	""	"action"	""	""	"2"	"100"
"ls:fr:entry:26199"	""	"activité"	""	""	"2"	"100"
"ls:fr:entry:26200"	""	"actualité"	""	""	"2"	"100"
"ls:fr:entry:26201"	""	"actuel"	""	""	"2"	"100"
"ls:fr:entry:26202"	""	"adapter"	""	""	"2"	"100"
"ls:fr:entry:26203"	""	"additionner"	""	""	"2"	"100"
"ls:fr:entry:26204"	""	"adieu"	""	""	"2"	"100"
"ls:fr:entry:26205"	""	"admettre"	""	""	"2"	"100"
"ls:fr:entry:26206"	""	"administrer"	""	"2"	"2"	"100"
"ls:fr:entry:26207"	""	"admirer"	""	""	"2"	"100"
"ls:fr:entry:26208"	""	"adolescent"	"N"	""	"2"	"100"
"ls:fr:entry:26209"	""	"adopter"	""	""	"2"	"100"
"ls:fr:entry:26210"	""	"adorable"	""	""	"2"	"100"
"ls:fr:entry:26211"	""	"adorer"	""	""	"2"	"100"
"ls:fr:entry:26212"	""	"adresse"	""	"1"	"2"	"100"
"ls:fr:entry:26213"	""	"adresser"	""	""	"2"	"100"
"ls:fr:entry:26214"	""	"adroit"	""	""	"2"	"100"
"ls:fr:entry:26215"	""	"adulte"	"Adj"	""	"2"	"100"
"ls:fr:entry:26216"	""	"adversaire"	"N, masc"	""	"2"	"100"
"ls:fr:entry:26217"	""	"adversité"	""	""	"2"	"100"
"ls:fr:entry:26218"	""	"aéroport"	""	""	"2"	"100"
"ls:fr:entry:26219"	""	"affaiblir"	""	""	"2"	"100"
"ls:fr:entry:26220"	""	"affaire"	""	""	"2"	"100"
"ls:fr:entry:26221"	""	"affection"	""	""	"2"	"100"
"ls:fr:entry:26222"	""	"affiche"	""	""	"2"	"100"
"ls:fr:entry:26223"	""	"afficher"	""	""	"2"	"100"
"ls:fr:entry:26224"	""	"affirmer"	""	""	"2"	"100"
"ls:fr:entry:26225"	""	"affoler"	""	""	"2"	"100"
"ls:fr:entry:26226"	""	"affreux"	""	""	"2"	"100"
"ls:fr:entry:26227"	""	"affront"	""	""	"2"	"100"
"ls:fr:entry:26228"	""	"affronter"	""	""	"2"	"100"
"ls:fr:entry:26229"	""	"agacer"	""	""	"2"	"100"
"ls:fr:entry:26230"	""	"âge"	""	""	"2"	"100"
"ls:fr:entry:26231"	""	"âgé"	""	""	"2"	"100"
"ls:fr:entry:26232"	""	"agent"	""	""	"2"	"100"
"ls:fr:entry:26233"	""	"aggraver"	""	""	"2"	"100"
"ls:fr:entry:26234"	""	"agile"	""	""	"2"	"100"
"ls:fr:entry:26235"	""	"agir"	""	""	"2"	"100"
"ls:fr:entry:26236"	""	"agiter"	""	""	"2"	"100"
"ls:fr:entry:26237"	""	"agneau"	""	""	"2"	"100"
"ls:fr:entry:26238"	""	"agréable"	""	""	"2"	"100"
"ls:fr:entry:26239"	""	"agresser"	""	""	"2"	"100"
"ls:fr:entry:26240"	""	"agriculture"	""	""	"2"	"100"
"ls:fr:entry:26241"	""	"Ah !"	""	""	"2"	"100"
"ls:fr:entry:26242"	""	"aide"	"N, fém"	""	"2"	"100"
"ls:fr:entry:26243"	""	"aider"	""	""	"2"	"100"
"ls:fr:entry:26244"	""	"aigu"	""	""	"2"	"100"
"ls:fr:entry:26245"	""	"aiguille"	""	""	"2"	"100"
"ls:fr:entry:26246"	""	"ail"	""	""	"2"	"100"
"ls:fr:entry:26247"	""	"aile"	""	""	"2"	"100"
"ls:fr:entry:26248"	""	"ailleurs"	""	""	"1"	"100"
"ls:fr:entry:26249"	""	"aimable"	""	""	"2"	"100"
"ls:fr:entry:26250"	""	"aimer"	""	""	"2"	"100"
"ls:fr:entry:26251"	""	"aîné"	"Adj"	""	"2"	"100"
"ls:fr:entry:26252"	""	"ainsi"	""	""	"2"	"100"
"ls:fr:entry:26253"	""	"air"	""	"1"	"2"	"100"
"ls:fr:entry:26254"	""	"aire"	""	""	"2"	"100"
"ls:fr:entry:26255"	""	"aisance"	""	""	"2"	"100"
"ls:fr:entry:26256"	""	"ajouter"	""	""	"2"	"100"
"ls:fr:entry:26257"	""	"ajuster"	""	""	"2"	"100"
"ls:fr:entry:26258"	""	"alarme"	""	""	"2"	"100"
"ls:fr:entry:26259"	""	"album"	""	""	"2"	"100"
"ls:fr:entry:26260"	""	"alcool"	""	""	"1"	"100"
"ls:fr:entry:26261"	""	"alcoolique"	"N, masc"	""	"2"	"100"
"ls:fr:entry:26262"	""	"alerte"	""	""	"2"	"100"
"ls:fr:entry:26263"	""	"alerter"	""	""	"2"	"100"
"ls:fr:entry:26264"	""	"algue"	""	""	"2"	"100"
"ls:fr:entry:26265"	""	"aliment"	""	""	"2"	"100"
"ls:fr:entry:26266"	""	"alimentation"	""	""	"2"	"100"
"ls:fr:entry:26267"	""	"allée"	""	""	"2"	"100"
"ls:fr:entry:26268"	""	"allemand"	"N"	""	"2"	"100"
"ls:fr:entry:26269"	""	"aller"	"N"	""	"2"	"100"
"ls:fr:entry:26270"	""	"aller"	"V"	""	"2"	"100"
"ls:fr:entry:26271"	""	"allergie"	""	""	"2"	"100"
"ls:fr:entry:26272"	""	"Allô !"	""	""	"2"	"100"
"ls:fr:entry:26273"	"s’"	"allonger"	""	"1"	"2"	"100"
"ls:fr:entry:26274"	""	"allumer"	""	""	"2"	"100"
"ls:fr:entry:26275"	""	"allumette"	""	""	"2"	"100"
"ls:fr:entry:26276"	""	"allusion"	""	""	"2"	"100"
"ls:fr:entry:26277"	""	"alors"	""	""	"2"	"100"
"ls:fr:entry:26278"	""	"alphabet"	""	""	"2"	"100"
"ls:fr:entry:26279"	""	"alternative"	""	""	"2"	"100"
"ls:fr:entry:26280"	""	"altitude"	""	""	"2"	"100"
"ls:fr:entry:26281"	""	"amande"	""	""	"2"	"100"
"ls:fr:entry:26282"	""	"amateur"	"N"	""	"2"	"100"
"ls:fr:entry:26283"	""	"ambiance"	""	""	"2"	"100"
"ls:fr:entry:26284"	""	"ambigu"	""	""	"2"	"100"
"ls:fr:entry:26285"	""	"ambition"	""	""	"3"	"100"
"ls:fr:entry:26286"	""	"ambulance"	""	""	"2"	"100"
"ls:fr:entry:26287"	""	"âme"	""	""	"2"	"100"
"ls:fr:entry:26288"	""	"améliorer"	""	""	"2"	"100"
"ls:fr:entry:26289"	""	"amener"	""	""	"2"	"100"
"ls:fr:entry:26290"	""	"amer"	""	""	"2"	"100"
"ls:fr:entry:26291"	""	"américain"	"Adj"	""	"2"	"100"
"ls:fr:entry:26292"	""	"amertume"	""	""	"2"	"100"
"ls:fr:entry:26293"	""	"ami"	"N"	""	"1"	"100"
"ls:fr:entry:26294"	""	"amour"	""	""	"2"	"100"
"ls:fr:entry:26295"	""	"amoureux"	"Adj"	""	"2"	"100"
"ls:fr:entry:26296"	""	"ampoule"	""	""	"2"	"100"
"ls:fr:entry:26297"	""	"amuser"	""	""	"2"	"100"
"ls:fr:entry:26298"	""	"an"	""	""	"2"	"100"
"ls:fr:entry:26299"	""	"analogie"	""	""	"2"	"100"
"ls:fr:entry:26300"	""	"analyser"	""	""	"2"	"100"
"ls:fr:entry:26301"	""	"ananas"	""	""	"2"	"100"
"ls:fr:entry:26302"	""	"anarchie"	""	""	"2"	"100"
"ls:fr:entry:26303"	""	"ancien"	"Adj"	""	"2"	"100"
"ls:fr:entry:26304"	""	"âne"	""	""	"2"	"100"
"ls:fr:entry:26305"	""	"ange"	""	""	"2"	"100"
"ls:fr:entry:26306"	""	"anglais"	"N"	""	"2"	"100"
"ls:fr:entry:26307"	""	"angle"	""	""	"2"	"100"
"ls:fr:entry:26308"	""	"angoisse"	""	""	"2"	"100"
"ls:fr:entry:26309"	""	"animal"	"N"	""	"2"	"100"
"ls:fr:entry:26310"	""	"animer"	""	""	"2"	"100"
"ls:fr:entry:26311"	""	"année"	""	""	"2"	"100"
"ls:fr:entry:26312"	""	"anniversaire"	"N"	""	"2"	"100"
"ls:fr:entry:26313"	""	"annoncer"	""	""	"2"	"100"
"ls:fr:entry:26314"	""	"annuler"	""	""	"2"	"100"
"ls:fr:entry:26315"	""	"anomalie"	""	""	"2"	"100"
"ls:fr:entry:26316"	""	"anonyme"	"Adj"	""	"2"	"100"
"ls:fr:entry:26317"	""	"anormal"	"Adj"	""	"2"	"100"
"ls:fr:entry:26318"	""	"antenne"	""	""	"1"	"100"
"ls:fr:entry:26319"	""	"anxiété"	""	""	"2"	"100"
"ls:fr:entry:26320"	""	"août"	""	""	"2"	"100"
"ls:fr:entry:26321"	""	"apaiser"	""	""	"2"	"100"
"ls:fr:entry:26322"	""	"apercevoir"	""	""	"2"	"100"
"ls:fr:entry:26323"	""	"apéritif"	"N"	""	"2"	"100"
"ls:fr:entry:26324"	""	"aplatir"	""	""	"2"	"100"
"ls:fr:entry:26325"	""	"apparaître"	""	""	"2"	"100"
"ls:fr:entry:26326"	""	"appareil"	""	""	"2"	"100"
"ls:fr:entry:26327"	""	"apparence"	""	""	"2"	"100"
"ls:fr:entry:26328"	""	"apparent"	""	""	"2"	"100"
"ls:fr:entry:26329"	""	"appartement"	""	""	"2"	"100"
"ls:fr:entry:26330"	""	"appartenir"	""	""	"2"	"100"
"ls:fr:entry:26331"	""	"appauvrir"	""	""	"2"	"100"
"ls:fr:entry:26332"	""	"appeler"	""	""	"2"	"100"
"ls:fr:entry:26333"	""	"appétit"	""	""	"2"	"100"
"ls:fr:entry:26334"	""	"applaudir"	""	""	"2"	"100"
"ls:fr:entry:26335"	""	"appliquer"	""	""	"2"	"100"
"ls:fr:entry:26336"	""	"apporter"	""	""	"2"	"100"
"ls:fr:entry:26337"	""	"apprécier"	""	""	"2"	"100"
"ls:fr:entry:26338"	""	"apprendre"	""	""	"2"	"100"
"ls:fr:entry:26339"	""	"approcher"	""	""	"2"	"100"
"ls:fr:entry:26340"	""	"approuver"	""	""	"2"	"100"
"ls:fr:entry:26341"	""	"approvisionner"	""	""	"2"	"100"
"ls:fr:entry:26342"	""	"appuyer"	""	""	"2"	"100"
"ls:fr:entry:26343"	""	"après"	"Prép"	""	"2"	"100"
"ls:fr:entry:26344"	""	"après-demain"	""	""	"2"	"100"
"ls:fr:entry:26345"	""	"après-midi"	""	""	"2"	"100"
"ls:fr:entry:26346"	""	"arabe"	"Adj"	""	"2"	"100"
"ls:fr:entry:26347"	""	"araignée"	""	""	"2"	"100"
"ls:fr:entry:26348"	""	"arbitre"	"N, masc"	""	"2"	"100"
"ls:fr:entry:26349"	""	"arbre"	""	""	"2"	"100"
"ls:fr:entry:26350"	""	"argent"	""	""	"2"	"100"
"ls:fr:entry:26351"	""	"arme"	""	""	"2"	"100"
"ls:fr:entry:26352"	""	"armée"	""	""	"2"	"100"
"ls:fr:entry:26353"	""	"armer"	""	""	"2"	"100"
"ls:fr:entry:26354"	""	"armoire"	""	""	"1"	"100"
"ls:fr:entry:26355"	""	"arracher"	""	""	"2"	"100"
"ls:fr:entry:26356"	""	"arranger"	""	""	"2"	"100"
"ls:fr:entry:26357"	""	"arrêter"	""	""	"2"	"100"
"ls:fr:entry:26358"	""	"arrière"	"N, masc"	""	"2"	"100"
"ls:fr:entry:26359"	""	"arriver"	""	""	"2"	"100"
"ls:fr:entry:26360"	""	"art"	""	""	"2"	"100"
"ls:fr:entry:26361"	""	"article"	""	""	"2"	"100"
"ls:fr:entry:26362"	""	"artificiel"	""	""	"2"	"100"
"ls:fr:entry:26363"	""	"ascenseur"	""	""	"2"	"100"
"ls:fr:entry:26364"	""	"asiatique"	"Adj"	""	"2"	"100"
"ls:fr:entry:26365"	""	"aspect"	""	""	"2"	"100"
"ls:fr:entry:26366"	""	"aspirateur"	"N"	""	"1"	"100"
"ls:fr:entry:26367"	""	"aspirer"	""	"1"	"2"	"100"
"ls:fr:entry:26368"	""	"assassiner"	""	""	"2"	"100"
"ls:fr:entry:26369"	"s’"	"asseoir"	""	""	"2"	"100"
"ls:fr:entry:26370"	""	"assez"	""	""	"2"	"100"
"ls:fr:entry:26371"	""	"assiette"	""	"1"	"2"	"100"
"ls:fr:entry:26372"	""	"assis"	""	""	"2"	"100"
"ls:fr:entry:26373"	""	"assister"	""	""	"2"	"100"
"ls:fr:entry:26374"	""	"associer"	""	""	"2"	"100"
"ls:fr:entry:26375"	""	"assurer"	""	""	"2"	"100"
"ls:fr:entry:26376"	""	"astuce"	""	""	"2"	"100"
"ls:fr:entry:26377"	""	"atelier"	""	""	"2"	"100"
"ls:fr:entry:26378"	""	"atroce"	""	""	"2"	"100"
"ls:fr:entry:26379"	""	"attacher"	""	""	"2"	"100"
"ls:fr:entry:26380"	""	"attaquer"	""	""	"2"	"100"
"ls:fr:entry:26381"	""	"atteindre"	""	""	"2"	"100"
"ls:fr:entry:26382"	""	"attendre"	""	""	"2"	"100"
"ls:fr:entry:26383"	""	"attendrir"	""	""	"2"	"100"
"ls:fr:entry:26384"	""	"attendrissement"	""	""	"2"	"100"
"ls:fr:entry:26385"	""	"attentat"	""	""	"2"	"100"
"ls:fr:entry:26386"	""	"attention"	""	""	"2"	"100"
"ls:fr:entry:26387"	""	"atterrir"	""	""	"2"	"100"
"ls:fr:entry:26388"	""	"attirer"	""	""	"2"	"100"
"ls:fr:entry:26389"	""	"attitude"	""	""	"2"	"100"
"ls:fr:entry:26390"	""	"attrait"	""	""	"2"	"100"
"ls:fr:entry:26391"	""	"attraper"	""	""	"2"	"100"
"ls:fr:entry:26392"	""	"au revoir"	""	""	"2"	"100"
"ls:fr:entry:26393"	""	"aucun"	"Pro"	""	"2"	"100"
"ls:fr:entry:26395"	""	"audition"	""	""	"2"	"100"
"ls:fr:entry:26396"	""	"augmenter"	""	""	"2"	"100"
"ls:fr:entry:26397"	""	"aujourd’hui"	""	""	"2"	"100"
"ls:fr:entry:26398"	""	"auparavant"	""	""	"2"	"100"
"ls:fr:entry:26399"	""	"auquel"	""	""	"2"	"100"
"ls:fr:entry:26400"	""	"aussi"	""	""	"2"	"100"
"ls:fr:entry:26401"	""	"aussitôt"	""	""	"2"	"100"
"ls:fr:entry:26402"	""	"autant"	""	""	"2"	"100"
"ls:fr:entry:26403"	""	"auteur"	""	""	"2"	"100"
"ls:fr:entry:26404"	""	"authentique"	""	""	"2"	"100"
"ls:fr:entry:26405"	""	"auto"	""	""	"1"	"100"
"ls:fr:entry:26406"	""	"autobus"	""	""	"1"	"100"
"ls:fr:entry:26407"	""	"autocar"	""	""	"1"	"100"
"ls:fr:entry:26408"	""	"automatique"	"Adj"	""	"2"	"100"
"ls:fr:entry:26409"	""	"automne"	""	""	"2"	"100"
"ls:fr:entry:26410"	""	"automobile"	"N"	""	"2"	"100"
"ls:fr:entry:26411"	""	"autonomie"	""	""	"2"	"100"
"ls:fr:entry:26412"	""	"autoriser"	""	""	"2"	"100"
"ls:fr:entry:26413"	""	"autorité"	""	""	"2"	"100"
"ls:fr:entry:26414"	""	"autoroute"	""	""	"1"	"100"
"ls:fr:entry:26415"	""	"autour"	""	""	"2"	"100"
"ls:fr:entry:26416"	""	"autre"	"Adj"	""	"2"	"100"
"ls:fr:entry:26417"	""	"autrefois"	""	""	"2"	"100"
"ls:fr:entry:26418"	""	"autrement"	""	""	"2"	"100"
"ls:fr:entry:26419"	""	"avaler"	""	""	"2"	"100"
"ls:fr:entry:26420"	""	"avancer"	""	""	"2"	"100"
"ls:fr:entry:26421"	""	"avant"	"N"	""	"2"	"100"
"ls:fr:entry:26422"	""	"avantage"	""	""	"2"	"100"
"ls:fr:entry:26423"	""	"avantager"	""	""	"2"	"100"
"ls:fr:entry:26424"	""	"avant-hier"	""	""	"2"	"100"
"ls:fr:entry:26425"	""	"avec"	""	""	"1"	"100"
"ls:fr:entry:26426"	""	"avenir"	""	""	"2"	"100"
"ls:fr:entry:26427"	""	"aventure"	""	""	"2"	"100"
"ls:fr:entry:26428"	""	"avenue"	""	""	"2"	"100"
"ls:fr:entry:26429"	""	"averse"	""	""	"2"	"100"
"ls:fr:entry:26430"	""	"avertir"	""	""	"2"	"100"
"ls:fr:entry:26431"	""	"aveugle"	"Adj"	""	"2"	"100"
"ls:fr:entry:26432"	""	"aviation"	""	""	"2"	"100"
"ls:fr:entry:26433"	""	"avion"	""	""	"1"	"100"
"ls:fr:entry:26434"	""	"avis"	""	""	"2"	"100"
"ls:fr:entry:26435"	""	"avocat"	""	"1"	"2"	"100"
