"node"	"propform"	"tildevalue"	"%"	"actantslist"
"ls:fr:node:26162"	"[$1] ~ $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26163"	"[$1] ~ de $2"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26166"	"~"	""	"100"	"()"
"ls:fr:node:26167"	"$1 ~ $2"	"abîme "	"100"	"($1=X,$2=Y)"
"ls:fr:node:26168"	"$1 ~ $2 à $3"	"abonne"	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26169"	"~ de $2 qui sert à $1"	""	"100"	"($1=Y,$2=X)"
"ls:fr:node:26171"	"~ de $1"	""	"100"	"($1=X)"
"ls:fr:node:26172"	"~ $1"	""	"100"	"($1=X)"
"ls:fr:node:26173"	"$1 ~ $2"	" absorbe "	"100"	"($1=X,$2=Y)"
"ls:fr:node:26174"	"$1 ~ de $2"	"abuse"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26175"	"$1 ~ $2"	" accélère "	"100"	"($1=X,$2=Y)"
"ls:fr:node:26177"	"$1 ~ $2"	"accepte"	"100"	"($1=X,$2=Y)"
"ls:fr:node:26179"	"~ de $2 qui implique $1"	""	"100"	"($1=X,$2=Y)"
"ls:fr:node:26180"	"$1 ~ $2 (jusqu’à $3)"	"accompagne"	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26181"	"$1 ~ $2"	" accomplit "	"100"	"($1=X,$2=Y)"
"ls:fr:node:26182"	"~ de $1 et $2 au sujet de $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26183"	"$1 ~ $2 à $3"	" accorde "	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26184"	"$1 ~ de $2 avec l’aide de $3"	" accouche "	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26185"	"$1 ~ $2 à $3"	" accroche "	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26186"	"$1 ~ $2 à $3"	" accueille "	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26187"	"$1 ~ $2 dans $3"	" accumule "	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26188"	"$1 ~ $2 de $3"	" accuse "	"100"	"($1=X,$2=Y,$3=Z)"
"ls:fr:node:26189"	"$1 ~ $2 à $3 pour $4"	" achète "	"100"	"($1=X,$2=Y,$3=Z,$4=W)"
"ls:fr:node:26190"	"$1 ~ $2"	" achève "	"100"	"($1=X,$2=Y)"
"ls:fr:node:26192"	"$1 ~ $2"	" acquiert "	"100"	"($1=X,$2=Y)"
"ls:fr:node:26193"	"! ~ de $1 par $2"	""	"100"	"($1=X,$2=Y)"
