"node"	"example"	"occurrence"	"position"	"%"
"ls:fr:node:26162"	"ls:fr:ex:4328"	"66,67;"	"0"	"100"
"ls:fr:node:26162"	"ls:fr:ex:337"	"161,162;"	"1"	"100"
"ls:fr:node:26162"	"ls:fr:ex:331"	"37,38;"	"2"	"100"
"ls:fr:node:26162"	"ls:fr:ex:3964"	"26,27;"	"3"	"100"
"ls:fr:node:26162"	"ls:fr:ex:3348"	"53,54;"	"4"	"100"
"ls:fr:node:26162"	"ls:fr:ex:3948"	"46,47;"	"5"	"100"
"ls:fr:node:26162"	"ls:fr:ex:83"	"209,210;"	"6"	"100"
"ls:fr:node:26162"	"ls:fr:ex:229"	"99,100;"	"7"	"100"
"ls:fr:node:26162"	"ls:fr:ex:11955"	"68,69;"	"8"	"100"
"ls:fr:node:26163"	"ls:fr:ex:4628"	"62,70;"	"0"	"100"
"ls:fr:node:26163"	"ls:fr:ex:8955"	"82,90;"	"1"	"100"
"ls:fr:node:26164"	"ls:fr:ex:1323"	"48,57;"	"0"	"100"
"ls:fr:node:26166"	"ls:fr:ex:10465"	"203,208;"	"0"	"100"
"ls:fr:node:26167"	"ls:fr:ex:11675"	"150,155;"	"0"	"100"
"ls:fr:node:26168"	"ls:fr:ex:24199"	"87,95;"	"0"	"100"
"ls:fr:node:26169"	"ls:fr:ex:7458"	"214,219;"	"0"	"100"
"ls:fr:node:26170"	"ls:fr:ex:14527"	"33,41;"	"0"	"100"
"ls:fr:node:26170"	"ls:fr:ex:18464"	"99,106;"	"1"	"100"
"ls:fr:node:26170"	"ls:fr:ex:29551"	"160,167;"	"2"	"100"
"ls:fr:node:26171"	"ls:fr:ex:4301"	"434,441;"	"0"	"100"
"ls:fr:node:26172"	"ls:fr:ex:2412"	"44,54;"	"0"	"100"
"ls:fr:node:26173"	"ls:fr:ex:18409"	"500,507;"	"0"	"100"
"ls:fr:node:26174"	"ls:fr:ex:17830"	"304,310;"	"0"	"100"
"ls:fr:node:26175"	"ls:fr:ex:8923"	"117,126;"	"0"	"100"
